murpd006: ['616', '0.18073249', '0.13939394', '0.15642776'] 
hartc001: ['629', '0.18679428', '0.13253012', '0.15626383'] 
escoa003: ['652', '0.18686450', '0.11428571', '0.15620053'] 
greet004: ['344', '0.18974435', '0.12809917', '0.15602094'] 
youkk001: ['517', '0.20480214', '0.12048193', '0.15592028'] 
hafnt001: ['266', '0.16549006', '0.16309012', '0.15570176'] 
mousm001: ['616', '0.19279778', '0.14770459', '0.15569824'] 
cainl001: ['247', '0.19360867', '0.14090909', '0.15566625'] 
carre001: ['160', '0.19343175', '0.10434783', '0.15555556'] 
morak001: ['523', '0.19151460', '0.15415020', '0.15541691'] 
smoaj001: ['537', '0.19293401', '0.12903225', '0.15518394'] 
snydc002: ['264', '0.17988265', '0.16265060', '0.15517241'] 
spand001: ['570', '0.18050224', '0.09523810', '0.15510204'] 
keara001: ['180', '0.17940283', '0.10457516', '0.15505226'] 
torra001: ['445', '0.19582076', '0.10324484', '0.15497553'] 
valdj002: ['211', '0.17894737', '0.15789473', '0.15495208'] 
buckj001: ['403', '0.19297588', '0.14141414', '0.15476191'] 
deaza001: ['586', '0.18609795', '0.09829868', '0.15447155'] 
beckg001: ['593', '0.18527392', '0.12978724', '0.15441595'] 
uggld001: ['632', '0.18359752', '0.13333334', '0.15418503'] 
hanir001: ['375', '0.18215466', '0.10687023', '0.15413892'] 
howar001: ['295', '0.18917283', '0.20921986', '0.15400411'] 
gonzm002: ['225', '0.19658719', '0.09448819', '0.15384616'] 
herre001: ['217', '0.18570827', '0.10344828', '0.15384616'] 
thame001: ['299', '0.19545144', '0.12554112', '0.15365854'] 
moliy001: ['568', '0.15962519', '0.13064516', '0.15342872'] 
huntt001: ['587', '0.16921405', '0.15132606', '0.15340909'] 
montm001: ['581', '0.17769390', '0.15734266', '0.15285996'] 
linda001: ['358', '0.18212090', '0.15409836', '0.15252708'] 
lee-c001: ['619', '0.17582418', '0.18220340', '0.15252417'] 
eatoa002: ['103', '0.17360236', '0.06122449', '0.15249267'] 
youne003: ['196', '0.17701453', '0.08717949', '0.15241058'] 
herng001: ['179', '0.19748014', '0.13084112', '0.15227273'] 
uribj002: ['181', '0.20274915', '0.17647059', '0.15211970'] 
peraj001: ['586', '0.19694526', '0.13757700', '0.15179078'] 
averx001: ['111', '0.18694362', '0.06976745', '0.15161291'] 
browd004: ['215', '0.18324146', '0.14673913', '0.15151516'] 
beltb001: ['475', '0.17110197', '0.13080169', '0.15116976'] 
